,Locality,Buy Rate per Sqft,1 BHK,2 BHK,3 BHK
258,Andheri (West),"Rs. 20,230 - 24,990/sq. ft.","Rs. 27,582 - 33,192","Rs. 44,132 - 52,156","Rs. 67,830 - 89,250"
259,Andheri MIDC,"Rs. 14,748 - 17,128/sq. ft.","Rs. 13,568 - 17,697","Rs. 37,952 - 40,989",-
260,Aram Nagar,"Rs. 25,032 - 29,070/sq. ft.",-,"Rs. 47,287 - 52,714",-
261,Asha Nagar,"Rs. 15,088 - 16,702/sq. ft.","Rs. 17,425 - 19,550","Rs. 26,653 - 30,354",-
262,Ashok Nagar Kandivali,"Rs. 16,320 - 18,955/sq. ft.","Rs. 15,895 - 17,765",-,-
263,Azad Nagar,"Rs. 17,000 - 19,762/sq. ft.","Rs. 25,245 - 29,452","Rs. 39,448 - 44,863","Rs. 51,935 - 60,775"
264,Babhai,"Rs. 15,682 - 17,892/sq. ft.","Rs. 15,002 - 17,840",-,-
265,Bander Pakhadi,"Rs. 13,218 - 15,342/sq. ft.",-,-,-
266,Bangur Nagar,"Rs. 16,575 - 20,442/sq. ft.","Rs. 19,635 - 22,440","Rs. 30,039 - 38,734",-
267,Best Nagar,"Rs. 15,088 - 17,722/sq. ft.","Rs. 19,625 - 21,134",-,-
268,Bhagat Colony,"Rs. 14,705 - 17,000/sq. ft.",-,-,-
269,Borivali (East),"Rs. 15,172 - 17,382/sq. ft.","Rs. 15,428 - 19,168","Rs. 26,010 - 30,600","Rs. 39,046 - 46,145"
270,Borivali (West),"Rs. 15,852 - 18,232/sq. ft.","Rs. 16,150 - 18,700","Rs. 24,157 - 28,298","Rs. 32,640 - 40,800"
271,Chakala,"Rs. 18,020 - 20,910/sq. ft.","Rs. 18,576 - 22,367","Rs. 38,270 - 47,838","Rs. 59,979 - 67,803"
272,Charkop,"Rs. 12,325 - 14,068/sq. ft.","Rs. 15,895 - 17,765","Rs. 21,675 - 24,565","Rs. 27,081 - 32,096"
273,Chikuwadi,"Rs. 14,960 - 17,340/sq. ft.","Rs. 15,116 - 16,667","Rs. 26,222 - 29,583",-
274,Chincholi Bunder,"Rs. 14,535 - 16,108/sq. ft.","Rs. 22,440 - 24,310","Rs. 31,104 - 36,891","Rs. 41,990 - 51,935"
275,Chincholi Phatak,-,-,"Rs. 26,520 - 31,960",-
276,Churi Wadi,-,-,"Rs. 39,750 - 46,516",-
277,Dahanukar Wadi,"Rs. 14,620 - 15,852/sq. ft.",-,"Rs. 26,625 - 31,821",-
278,Dahisar,"Rs. 10,965 - 13,430/sq. ft.","Rs. 13,939 - 15,288","Rs. 18,337 - 21,733","Rs. 29,155 - 34,361"
279,Dahisar (East),"Rs. 10,540 - 12,750/sq. ft.","Rs. 13,040 - 14,838","Rs. 17,085 - 19,135","Rs. 29,155 - 29,155"
280,Dahisar (West),"Rs. 13,898 - 15,895/sq. ft.","Rs. 14,866 - 16,218","Rs. 20,816 - 22,831","Rs. 32,454 - 35,404"
281,Dattaguru Nagar,"Rs. 18,360 - 20,272/sq. ft.",-,"Rs. 41,813 - 48,246",-
282,Dattapada,"Rs. 16,872 - 19,422/sq. ft.",-,"Rs. 25,288 - 29,622",-
283,Daulat Nagar,"Rs. 14,790 - 15,938/sq. ft.",-,-,-
284,Devipada,"Rs. 13,558 - 14,875/sq. ft.",-,"Rs. 30,302 - 35,190","Rs. 35,572 - 45,900"
285,Dindoshi,"Rs. 13,940 - 16,320/sq. ft.","Rs. 21,583 - 26,275","Rs. 39,335 - 41,900","Rs. 42,281 - 51,182"
286,DN Nagar,"Rs. 20,102 - 22,142/sq. ft.","Rs. 22,100 - 26,775","Rs. 38,250 - 42,075","Rs. 66,555 - 80,325"
287,Dominic Colony,"Rs. 17,128 - 19,380/sq. ft.",-,-,-
288,Eksar,"Rs. 16,065 - 18,530/sq. ft.","Rs. 16,830 - 18,700","Rs. 22,032 - 26,163","Rs. 38,964 - 41,886"
289,Ekta Nagar,"Rs. 10,455 - 11,432/sq. ft.","Rs. 11,152 - 12,198",-,-
290,Evershine Nagar,"Rs. 14,408 - 16,490/sq. ft.","Rs. 18,924 - 20,645","Rs. 29,073 - 32,800","Rs. 34,709 - 44,917"
291,Film City Road,"Rs. 13,600 - 15,428/sq. ft.","Rs. 21,505 - 25,245","Rs. 34,000 - 37,400","Rs. 46,750 - 56,100"
292,Gilbert Hill,"Rs. 14,110 - 16,108/sq. ft.",-,"Rs. 35,198 - 40,109",-
293,Gokuldham,"Rs. 13,600 - 15,938/sq. ft.","Rs. 21,038 - 23,842","Rs. 31,977 - 37,026","Rs. 51,518 - 65,076"
294,Gokuldham Colony,"Rs. 15,640 - 18,828/sq. ft.",-,"Rs. 37,537 - 41,029",-
295,Gokul Heven,-,"Rs. 17,986 - 19,335",-,-
296,Gorai,"Rs. 13,472 - 15,428/sq. ft.",-,-,-
297,Gorai 2,"Rs. 12,962 - 14,960/sq. ft.",-,-,-
298,Goregaon (East),"Rs. 14,662 - 18,062/sq. ft.","Rs. 19,737 - 23,409","Rs. 32,300 - 37,952","Rs. 65,280 - 78,880"
299,Goregaon (West),"Rs. 15,045 - 17,808/sq. ft.","Rs. 20,570 - 24,310","Rs. 33,735 - 39,102","Rs. 48,620 - 57,460"
300,Govind Nagar,"Rs. 14,790 - 17,000/sq. ft.",-,-,-
301,Gundavali Gaothan,"Rs. 15,045 - 17,170/sq. ft.",-,-,-
302,Hanuman Nagar,"Rs. 12,368 - 14,748/sq. ft.",-,-,-
303,Hemu Colony,"Rs. 14,408 - 15,428/sq. ft.",-,-,-
304,Huzefa Nagar,"Rs. 15,172 - 17,680/sq. ft.",-,"Rs. 23,842 - 26,010",-
305,I C Colony,"Rs. 15,385 - 17,000/sq. ft.","Rs. 13,872 - 16,040","Rs. 22,398 - 26,010","Rs. 28,326 - 32,895"
306,Irani Wadi,"Rs. 14,662 - 16,405/sq. ft.","Rs. 17,654 - 19,296",-,-
307,Jankalyan Nagar,"Rs. 12,240 - 13,982/sq. ft.","Rs. 16,830 - 19,168","Rs. 24,067 - 27,713","Rs. 31,117 - 33,062"
308,Jawahar Nagar,"Rs. 14,662 - 17,042/sq. ft.","Rs. 18,778 - 22,355","Rs. 30,067 - 33,922","Rs. 37,520 - 45,632"
309,Jay Prakash Nagar,"Rs. 16,702 - 18,998/sq. ft.","Rs. 15,342 - 20,188","Rs. 31,238 - 33,469","Rs. 39,971 - 44,412"
310,J B Nagar,"Rs. 16,022 - 19,338/sq. ft.","Rs. 24,749 - 27,309","Rs. 36,125 - 43,350","Rs. 54,060 - 56,100"
311,Jeevan Nagar,-,-,"Rs. 40,906 - 46,856",-
312,Jogeshwari (East),"Rs. 20,782 - 24,395/sq. ft.","Rs. 20,808 - 24,072","Rs. 31,790 - 37,570","Rs. 61,962 - 67,510"
313,Jogeshwari (West),"Rs. 14,960 - 17,298/sq. ft.","Rs. 21,857 - 25,183","Rs. 33,808 - 37,833","Rs. 47,116 - 51,212"
314,Juhu Lane,-,"Rs. 27,200 - 29,750","Rs. 46,367 - 60,195",-
315,JVLR,"Rs. 15,640 - 18,700/sq. ft.","Rs. 21,372 - 23,886","Rs. 38,818 - 44,363","Rs. 50,167 - 54,026"
316,Kajupada,"Rs. 10,370 - 12,495/sq. ft.",-,-,-
317,Kanakiya,-,-,"Rs. 28,458 - 32,727",-
318,Kanchpada,-,"Rs. 18,597 - 22,889",-,"Rs. 58,943 - 68,112"
319,Kandarpada,"Rs. 13,728 - 15,172/sq. ft.","Rs. 14,470 - 15,827","Rs. 19,921 - 21,206",-
320,Kandivali (East),"Rs. 14,492 - 16,745/sq. ft.","Rs. 16,807 - 18,962","Rs. 24,854 - 29,240","Rs. 31,620 - 37,740"
321,Kandivali (West),"Rs. 13,260 - 16,150/sq. ft.","Rs. 16,214 - 19,456","Rs. 24,347 - 28,774","Rs. 36,720 - 42,840"
322,Kanti Nagar,-,"Rs. 25,024 - 27,761",-,-
323,Kasam Baug,"Rs. 14,450 - 16,320/sq. ft.",-,"Rs. 31,858 - 37,433","Rs. 43,637 - 50,527"
324,Kastur Park,"Rs. 17,000 - 19,508/sq. ft.",-,-,-
325,Ketkipada,"Rs. 8,118 - 10,030/sq. ft.",-,-,-
326,Kharodi,-,-,"Rs. 21,243 - 22,571",-
327,Koldongri,"Rs. 21,632 - 25,118/sq. ft.","Rs. 27,854 - 33,137",-,-
328,Kulupwadi,"Rs. 16,235 - 19,338/sq. ft.","Rs. 18,017 - 18,896","Rs. 25,823 - 30,988",-
329,Kurar Village,"Rs. 10,710 - 11,942/sq. ft.","Rs. 16,218 - 19,372",-,-
330,Liberty Garden,"Rs. 15,768 - 18,148/sq. ft.","Rs. 20,774 - 22,542","Rs. 25,160 - 32,708",-
331,LIC Colony,"Rs. 14,790 - 16,490/sq. ft.",-,-,-
332,Link Road,"Rs. 16,872 - 22,482/sq. ft.","Rs. 22,131 - 25,979",-,-
333,Lokhandwala Andheri West,"Rs. 21,038 - 24,905/sq. ft.","Rs. 31,059 - 36,975","Rs. 46,028 - 54,102","Rs. 67,830 - 80,920"
334,Lokhandwala Kandivali East,"Rs. 13,218 - 14,578/sq. ft.","Rs. 16,085 - 18,202","Rs. 25,059 - 27,484","Rs. 29,631 - 31,748"
335,Madh,"Rs. 14,620 - 16,235/sq. ft.",-,-,-
336,Mahakali Caves,"Rs. 15,682 - 17,765/sq. ft.","Rs. 23,328 - 25,873","Rs. 32,092 - 37,084",-
337,Maharashtra Nagar,"Rs. 15,385 - 15,980/sq. ft.","Rs. 18,829 - 19,795","Rs. 27,601 - 29,901",-
338,Mahavir Nagar,"Rs. 16,915 - 19,295/sq. ft.","Rs. 19,074 - 20,374","Rs. 31,086 - 34,119","Rs. 42,873 - 45,864"
339,Mahesh Nagar,"Rs. 20,740 - 22,950/sq. ft.",-,"Rs. 45,486 - 54,737","Rs. 58,426 - 65,729"
340,Malad (East),"Rs. 13,642 - 16,022/sq. ft.","Rs. 18,850 - 23,786","Rs. 34,989 - 39,256","Rs. 44,890 - 52,372"
341,Malad (West),"Rs. 14,280 - 17,000/sq. ft.","Rs. 18,680 - 22,324","Rs. 31,916 - 37,235","Rs. 42,947 - 51,128"
342,Malvani,-,"Rs. 14,657 - 18,729","Rs. 31,702 - 35,476",-
343,Mamletdar Wadi,-,"Rs. 17,139 - 20,056",-,-
344,Marol,"Rs. 15,385 - 17,638/sq. ft.","Rs. 26,670 - 30,695","Rs. 37,145 - 43,605","Rs. 53,040 - 60,775"
345,Marve Road,"Rs. 14,195 - 17,468/sq. ft.","Rs. 16,277 - 20,450","Rs. 32,456 - 36,985",-
346,Milat Nagar,"Rs. 23,248 - 26,350/sq. ft.",-,"Rs. 45,570 - 52,581","Rs. 69,062 - 73,312"
347,Mindspace,"Rs. 17,340 - 19,848/sq. ft.","Rs. 22,532 - 23,970","Rs. 39,658 - 43,789","Rs. 51,447 - 57,271"
348,Mitha Nagar,"Rs. 14,705 - 16,278/sq. ft.",-,"Rs. 29,758 - 33,726",-
349,Motilal Nagar I,"Rs. 14,578 - 14,578/sq. ft.",-,-,-
350,Motilal Nagar II,"Rs. 14,280 - 15,640/sq. ft.","Rs. 24,619 - 26,040","Rs. 31,238 - 33,788","Rs. 33,466 - 35,435"
351,Mulji Nagar,-,"Rs. 15,717 - 16,867",-,-
352,Natwar Nagar,"Rs. 16,320 - 18,615/sq. ft.",-,-,-
353,Navneeth Colony,-,-,"Rs. 42,412 - 45,553",-
354,Navy Colony,"Rs. 15,002 - 17,042/sq. ft.","Rs. 22,052 - 23,491",-,-
355,Nensey Colony,"Rs. 14,748 - 17,298/sq. ft.","Rs. 14,960 - 15,895","Rs. 22,950 - 26,775",-
356,Nl Complex,"Rs. 13,472 - 14,662/sq. ft.","Rs. 13,544 - 15,292",-,-
357,Orlem,"Rs. 15,258 - 17,000/sq. ft.","Rs. 17,251 - 19,775","Rs. 26,224 - 29,866",-
358,Oshiwara,"Rs. 16,235 - 20,782/sq. ft.","Rs. 20,358 - 23,208","Rs. 39,942 - 49,724","Rs. 64,090 - 87,508"
359,Pandurang Wadi,"Rs. 15,470 - 17,680/sq. ft.","Rs. 20,311 - 22,568","Rs. 28,050 - 31,238",-
360,Patel Nagar,"Rs. 15,342 - 17,850/sq. ft.",-,-,-
361,Pimpripada,-,-,"Rs. 28,036 - 30,250",-
362,Poonam Nagar,-,"Rs. 21,025 - 23,498","Rs. 34,354 - 38,648",-
363,Pushpa Park,"Rs. 14,875 - 16,660/sq. ft.",-,-,-
364,Raheja Estate,"Rs. 16,448 - 19,848/sq. ft.",-,-,-
365,Rajan Pada,-,-,"Rs. 35,620 - 38,718",-
366,Rajendra Nagar,"Rs. 16,490 - 18,870/sq. ft.",-,"Rs. 25,585 - 28,509",-
367,Raje Shivaji Nagar,"Rs. 14,620 - 15,980/sq. ft.","Rs. 23,800 - 25,925","Rs. 33,861 - 38,277",-
368,Ratan Nagar,-,"Rs. 26,648 - 30,388","Rs. 37,188 - 41,650",-
369,Rawalpada,"Rs. 11,092 - 12,962/sq. ft.","Rs. 13,597 - 15,351","Rs. 18,192 - 20,701",-
370,Safed Pul,-,-,"Rs. 32,445 - 38,776",-
371,Saibaba Nagar,"Rs. 15,385 - 18,488/sq. ft.","Rs. 14,858 - 16,422",-,-
372,Sai Wadi,"Rs. 20,910 - 22,228/sq. ft.",-,-,-
373,Sakinaka,"Rs. 13,175 - 15,258/sq. ft.","Rs. 24,990 - 29,070","Rs. 36,567 - 42,255","Rs. 49,123 - 54,835"
374,Saki Vihar,-,"Rs. 23,106 - 28,995",-,-
375,Samta Nagar,"Rs. 12,070 - 14,365/sq. ft.",-,"Rs. 20,936 - 20,936",-
376,Sankalp Colony,"Rs. 16,915 - 18,190/sq. ft.","Rs. 24,786 - 28,917",-,-
377,Satya Nagar,"Rs. 14,960 - 17,680/sq. ft.","Rs. 16,484 - 18,494",-,-
378,Sector-8 Charkop,"Rs. 12,112 - 13,302/sq. ft.","Rs. 16,362 - 17,298","Rs. 21,739 - 23,141",-
379,Sector-9 Charkop,"Rs. 11,390 - 12,325/sq. ft.","Rs. 15,020 - 16,958","Rs. 20,583 - 22,712",-
380,Sector 1 Charkop,"Rs. 13,048 - 14,705/sq. ft.","Rs. 14,492 - 17,298",-,-
381,Sector 2 Charkop,"Rs. 11,942 - 13,728/sq. ft.","Rs. 15,286 - 18,153","Rs. 20,558 - 22,685",-
382,Sector 3 Charkop,"Rs. 13,132 - 15,130/sq. ft.","Rs. 14,845 - 17,390","Rs. 20,135 - 23,011",-
383,Sector 5 Charkop,"Rs. 12,792 - 14,535/sq. ft.",-,"Rs. 22,398 - 24,565",-
384,Sector 6 Charkop,"Rs. 12,792 - 13,728/sq. ft.",-,-,-
385,Seven Bunglow,"Rs. 22,100 - 25,542/sq. ft.","Rs. 33,079 - 36,434","Rs. 45,553 - 54,193","Rs. 59,670 - 71,825"
386,Shankar Pada,"Rs. 16,958 - 19,762/sq. ft.",-,-,-
387,Shanti Nagar,"Rs. 13,048 - 15,428/sq. ft.",-,-,-
388,Shantivan Complex Colony,-,-,"Rs. 22,185 - 25,245",-
389,Shastri Nagar,"Rs. 23,162 - 25,882/sq. ft.","Rs. 29,070 - 36,720","Rs. 44,719 - 51,780","Rs. 80,057 - 97,300"
390,Sher E Punjab Colony,"Rs. 14,748 - 17,000/sq. ft.","Rs. 21,845 - 24,466","Rs. 31,790 - 33,958","Rs. 42,711 - 49,506"
391,Shimpoli,"Rs. 16,532 - 17,808/sq. ft.","Rs. 18,700 - 20,570","Rs. 25,764 - 29,444",-
392,Shivaji Nagar,"Rs. 16,618 - 18,062/sq. ft.",-,-,-
393,Siddharth Nagar,"Rs. 13,175 - 15,258/sq. ft.","Rs. 18,784 - 21,075","Rs. 30,394 - 33,594","Rs. 36,506 - 45,632"
394,Somwari Bazar,"Rs. 14,492 - 16,405/sq. ft.",-,-,-
395,Subhash Nagar,"Rs. 15,810 - 17,298/sq. ft.","Rs. 26,918 - 27,846","Rs. 31,862 - 33,278",-
396,Sunder Nagar,"Rs. 17,552 - 20,315/sq. ft.","Rs. 25,814 - 27,275","Rs. 30,775 - 32,206",-
397,Sundervan Complex,"Rs. 22,398 - 25,968/sq. ft.","Rs. 31,620 - 33,660","Rs. 45,815 - 61,642",-
398,Suresh Nagar,-,"Rs. 25,888 - 32,120","Rs. 36,544 - 40,843",-
399,SV Patel Nagar,"Rs. 17,212 - 19,635/sq. ft.",-,"Rs. 43,653 - 52,714","Rs. 54,315 - 60,833"
400,Tarun Bharat Nagar,-,"Rs. 23,426 - 29,172",-,-
401,Thakur Complex,"Rs. 13,642 - 15,215/sq. ft.","Rs. 16,291 - 18,493","Rs. 26,732 - 30,345","Rs. 34,425 - 43,605"
402,Thakur Village,"Rs. 15,598 - 17,680/sq. ft.","Rs. 18,600 - 20,814","Rs. 27,358 - 31,678","Rs. 34,332 - 38,255"
403,Umershetpada,-,"Rs. 25,152 - 26,981",-,-
404,Upper Govind Nagar,"Rs. 15,215 - 16,320/sq. ft.","Rs. 21,658 - 24,752","Rs. 31,450 - 36,550","Rs. 37,628 - 45,375"
405,Ushma Nagar,"Rs. 17,978 - 18,190/sq. ft.",-,-,"Rs. 40,356 - 45,278"
406,Vaishali Nagar,"Rs. 11,220 - 12,368/sq. ft.",-,-,-
407,Vazira,"Rs. 16,192 - 18,742/sq. ft.",-,"Rs. 22,603 - 27,548",-
408,Veera Desai Road,"Rs. 17,808 - 19,508/sq. ft.","Rs. 27,115 - 30,855","Rs. 42,595 - 47,328","Rs. 48,396 - 57,195"
409,Versova,"Rs. 21,802 - 25,968/sq. ft.","Rs. 30,042 - 35,764","Rs. 46,687 - 57,151","Rs. 63,250 - 77,306"
410,Vijay Nagar,-,"Rs. 21,094 - 24,449",-,-
411,Vishveshwar Nagar,-,"Rs. 22,074 - 24,990","Rs. 43,630 - 45,135",-
412,Yadav Nagar,-,"Rs. 27,200 - 29,750","Rs. 46,367 - 60,195",-
413,Yamuna Nagar,"Rs. 21,250 - 22,525/sq. ft.",-,"Rs. 43,658 - 48,668","Rs. 65,306 - 81,381"
414,Yari Road,"Rs. 18,530 - 23,375/sq. ft.","Rs. 28,050 - 36,210","Rs. 42,798 - 50,872","Rs. 68,510 - 81,685"
415,Yashodham,-,"Rs. 20,400 - 23,800","Rs. 31,725 - 39,103","Rs. 47,515 - 59,670"
416,Yogi Nagar,"Rs. 16,660 - 18,828/sq. ft.","Rs. 17,404 - 20,974",-,-
417,Bandra (East),"Rs. 24,778 - 31,195/sq. ft.",-,"Rs. 62,583 - 72,279","Rs. 1,07,686 - 1,31,325"
418,Bandra (West),"Rs. 32,980 - 39,695/sq. ft.","Rs. 46,410 - 55,080","Rs. 68,000 - 83,300","Rs. 1,07,440 - 1,42,800"
419,Bandra Kurla Complex,"Rs. 23,928 - 27,328/sq. ft.",-,"Rs. 71,537 - 82,685","Rs. 95,051 - 1,11,527"
420,Band Stand,-,"Rs. 44,200 - 49,300","Rs. 66,938 - 77,648","Rs. 1,07,528 - 1,36,971"
421,Chuim,-,-,"Rs. 79,475 - 92,480",-
422,Gandhi Nagar,"Rs. 30,345 - 31,918/sq. ft.",-,-,"Rs. 1,47,084 - 1,55,652"
423,Gulmohar Colony,"Rs. 35,062 - 39,440/sq. ft.",-,-,"Rs. 99,008 - 1,21,856"
424,Hill Road,-,"Rs. 38,556 - 49,028","Rs. 66,619 - 73,725",-
425,Juhu,"Rs. 35,360 - 41,608/sq. ft.","Rs. 38,250 - 47,430","Rs. 66,509 - 85,394","Rs. 1,21,558 - 1,49,922"
426,Juhu Scheme,"Rs. 36,168 - 39,440/sq. ft.","Rs. 35,190 - 42,228","Rs. 67,320 - 76,500","Rs. 1,22,645 - 1,55,861"
427,Jvpd Scheme,"Rs. 35,615 - 41,480/sq. ft.",-,-,"Rs. 1,61,519 - 1,99,426"
428,Kala Nagar,-,-,"Rs. 42,589 - 54,979","Rs. 88,145 - 1,19,255"
429,Kalina,"Rs. 17,468 - 20,868/sq. ft.","Rs. 27,115 - 31,552","Rs. 40,460 - 48,408","Rs. 59,528 - 67,600"
430,Khar,"Rs. 33,448 - 38,165/sq. ft.","Rs. 42,330 - 50,490","Rs. 69,700 - 85,000","Rs. 1,05,332 - 1,32,982"
431,Khar West,"Rs. 33,490 - 37,995/sq. ft.","Rs. 40,800 - 48,450","Rs. 70,550 - 85,000","Rs. 1,05,332 - 1,32,982"
432,Kherwadi,-,-,"Rs. 49,980 - 59,976",-
433,Mahim (West),"Rs. 25,118 - 30,982/sq. ft.","Rs. 34,595 - 38,802","Rs. 54,145 - 64,141",-
434,Mount Mary,-,"Rs. 56,100 - 72,420",-,-
435,Pali Hill,"Rs. 32,342 - 40,715/sq. ft.","Rs. 51,000 - 60,180","Rs. 69,700 - 91,800","Rs. 1,21,125 - 1,51,725"
436,Reclamation,-,"Rs. 46,410 - 52,530",-,-
437,Santacruz (East),"Rs. 18,488 - 20,698/sq. ft.","Rs. 26,180 - 29,452","Rs. 40,460 - 46,962","Rs. 62,688 - 71,188"
438,Santacruz (West),"Rs. 28,942 - 35,700/sq. ft.","Rs. 34,680 - 42,840","Rs. 59,479 - 71,374","Rs. 99,450 - 1,21,125"
439,Sunder Nagar,-,"Rs. 31,788 - 38,238",-,-
440,Union Park,-,-,"Rs. 63,750 - 77,350",-
441,Vakola,"Rs. 18,615 - 20,102/sq. ft.","Rs. 25,245 - 30,855","Rs. 40,698 - 48,552","Rs. 63,139 - 72,770"
442,Vidya Nagari,-,"Rs. 29,723 - 34,037","Rs. 40,266 - 51,107",-
443,Vile Parle (East),"Rs. 25,160 - 28,985/sq. ft.","Rs. 32,258 - 36,168","Rs. 47,685 - 54,910","Rs. 66,576 - 76,819"
444,Vile Parle (West),"Rs. 28,560 - 32,895/sq. ft.","Rs. 30,388 - 35,530","Rs. 54,544 - 63,240","Rs. 83,776 - 94,248"
445,Waterfield Road,-,-,"Rs. 65,056 - 81,320",-
446,Amar Nagar,-,"Rs. 17,503 - 19,934",-,-
447,Ambedkar Nagar,"Rs. 14,620 - 16,660/sq. ft.","Rs. 19,385 - 29,078","Rs. 35,593 - 40,678","Rs. 40,162 - 49,931"
448,Amrut Nagar,"Rs. 14,365 - 15,470/sq. ft.","Rs. 19,627 - 22,822","Rs. 39,589 - 46,627","Rs. 46,492 - 50,816"
449,Antop Hill,"Rs. 19,210 - 21,462/sq. ft.",-,-,-
450,Asha Nagar,"Rs. 15,980 - 17,978/sq. ft.","Rs. 18,232 - 19,635","Rs. 29,750 - 32,725",-
451,Battipada,-,"Rs. 16,575 - 17,850","Rs. 20,442 - 23,758",-
452,Bhandup (East),"Rs. 13,260 - 15,258/sq. ft.","Rs. 18,700 - 21,972","Rs. 35,700 - 40,162","Rs. 48,620 - 54,698"
453,Bhandup (West),"Rs. 12,155 - 14,152/sq. ft.","Rs. 19,686 - 22,147","Rs. 28,886 - 32,898","Rs. 40,672 - 45,602"
454,BSNL Colony,-,-,"Rs. 36,679 - 38,208",-
455,Chandivali,"Rs. 15,342 - 17,042/sq. ft.","Rs. 24,310 - 28,050","Rs. 40,637 - 44,870","Rs. 54,740 - 60,690"
456,Chunabhatti,-,"Rs. 21,038 - 23,375","Rs. 34,850 - 38,250",-
457,Chunabhatti East,-,"Rs. 21,250 - 25,500","Rs. 29,452 - 32,258",-
458,Datar Colony,"Rs. 12,962 - 13,515/sq. ft.","Rs. 17,140 - 18,993",-,-
459,Deendayal Nagar,-,-,"Rs. 25,160 - 27,200",-
460,Dina Bama Estate,"Rs. 15,342 - 16,490/sq. ft.","Rs. 22,147 - 24,608","Rs. 28,144 - 30,762",-
461,Friends Colony,"Rs. 11,688 - 13,982/sq. ft.","Rs. 15,750 - 17,140",-,-
462,Ganesh Nagar,"Rs. 13,302 - 14,578/sq. ft.","Rs. 20,248 - 23,211","Rs. 31,178 - 35,075","Rs. 34,680 - 36,720"
463,Garodia Nagar,"Rs. 17,000 - 20,400/sq. ft.","Rs. 22,552 - 24,602","Rs. 29,750 - 36,444",-
464,Gavanpada,"Rs. 13,388 - 15,088/sq. ft.","Rs. 17,769 - 20,170",-,-
465,Ghatkopar (East),"Rs. 15,810 - 20,442/sq. ft.","Rs. 21,420 - 24,990","Rs. 35,726 - 41,283","Rs. 54,740 - 63,070"
466,Ghatkopar West,"Rs. 15,045 - 17,510/sq. ft.","Rs. 20,285 - 23,116","Rs. 39,015 - 44,217","Rs. 57,242 - 62,220"
467,Govind Nagar,"Rs. 14,110 - 16,320/sq. ft.","Rs. 21,373 - 21,828","Rs. 27,843 - 30,773",-
468,Hallow Pul,-,"Rs. 19,283 - 21,820",-,-
469,Hanuman Chowk,"Rs. 15,300 - 17,085/sq. ft.","Rs. 17,986 - 19,335",-,-
470,Hira Nagar,-,-,"Rs. 31,238 - 36,592",-
471,Hiranandani Gardens - Powai,"Rs. 23,885 - 28,645/sq. ft.","Rs. 36,356 - 44,217","Rs. 54,400 - 66,300","Rs. 85,922 - 1,08,337"
472,HMPL Surya Nagar,-,-,"Rs. 35,955 - 39,780",-
473,Industrial Area,"Rs. 12,665 - 13,770/sq. ft.","Rs. 19,747 - 21,991",-,-
474,Jagdusha Nagar,"Rs. 12,580 - 15,258/sq. ft.","Rs. 18,819 - 20,655","Rs. 22,542 - 25,432",-
475,Jaydev Singh Nagar,"Rs. 11,942 - 14,280/sq. ft.","Rs. 22,374 - 23,465",-,-
476,Kanjur Marg (East),"Rs. 13,302 - 15,342/sq. ft.","Rs. 19,168 - 22,908","Rs. 37,556 - 41,133","Rs. 48,620 - 54,698"
477,Kanjur Marg (west),"Rs. 14,068 - 16,192/sq. ft.","Rs. 21,693 - 28,155","Rs. 33,808 - 38,638","Rs. 40,504 - 49,031"
478,Kannamwar Nagar I,-,"Rs. 15,002 - 16,623",-,-
479,Kannamwar Nagar II,"Rs. 12,878 - 14,365/sq. ft.","Rs. 17,926 - 19,342",-,-
480,Kokan Nagar,-,"Rs. 14,875 - 16,150",-,-
481,Kurla (East),"Rs. 12,920 - 14,918/sq. ft.","Rs. 19,655 - 23,491","Rs. 26,010 - 35,190",-
482,Kurla (west),"Rs. 13,642 - 16,448/sq. ft.","Rs. 20,318 - 25,273","Rs. 35,190 - 41,446","Rs. 57,005 - 62,594"
483,LBS Marg,"Rs. 12,962 - 15,428/sq. ft.","Rs. 20,736 - 23,770","Rs. 31,028 - 35,006","Rs. 40,200 - 42,565"
484,Lok Milan Colony,"Rs. 16,532 - 18,488/sq. ft.","Rs. 24,556 - 28,194","Rs. 45,140 - 50,250","Rs. 55,930 - 65,450"
485,Mhada Colony,"Rs. 13,132 - 15,130/sq. ft.",-,-,-
486,Mirashi Nagar,-,"Rs. 17,503 - 21,481",-,-
487,Moti Nagar,"Rs. 16,108 - 17,850/sq. ft.",-,"Rs. 28,382 - 33,112",-
488,Mulund,"Rs. 14,110 - 16,448/sq. ft.","Rs. 17,830 - 20,645","Rs. 28,305 - 32,130","Rs. 38,177 - 43,791"
489,Mulund (East),"Rs. 14,025 - 16,320/sq. ft.","Rs. 18,730 - 21,131","Rs. 25,789 - 29,971","Rs. 33,660 - 40,205"
490,Mulund (West),"Rs. 14,152 - 16,532/sq. ft.","Rs. 17,765 - 20,570","Rs. 29,716 - 33,626","Rs. 38,755 - 44,454"
491,Mulund Colony,"Rs. 14,110 - 17,042/sq. ft.","Rs. 15,895 - 19,168","Rs. 23,651 - 29,057",-
492,Nahur,"Rs. 13,472 - 15,130/sq. ft.","Rs. 17,850 - 18,870","Rs. 32,640 - 35,088","Rs. 39,738 - 49,088"
493,Nahur East,"Rs. 11,858 - 13,388/sq. ft.",-,"Rs. 24,276 - 27,132",-
494,Nahur Gaothan,"Rs. 12,920 - 14,960/sq. ft.",-,-,-
