,Locality,Buy Rate per Sqft,1 BHK,2 BHK,3 BHK
77,Yashodhan Nagar,-,"Rs. 9,945 - 11,858",-,-
78,Adharwadi,"Rs. 4,972 - 5,610/sq. ft.","Rs. 6,122 - 7,064","Rs. 12,888 - 13,808","Rs. 15,470 - 16,575"
79,Ambernath,"Rs. 3,358 - 3,910/sq. ft.","Rs. 4,189 - 5,760","Rs. 5,746 - 7,182",-
80,Ambernath East,"Rs. 3,400 - 3,995/sq. ft.","Rs. 4,250 - 5,312","Rs. 5,766 - 7,929",-
81,Ambernath West,"Rs. 3,315 - 4,080/sq. ft.","Rs. 4,359 - 5,448",-,-
82,Ambivali West,"Rs. 3,740 - 4,845/sq. ft.",-,-,-
83,Ambivli,"Rs. 3,868 - 4,590/sq. ft.","Rs. 2,830 - 3,397","Rs. 3,155 - 3,550",-
84,Anjurdive,"Rs. 6,885 - 7,522/sq. ft.",-,-,-
85,Aptewadi,"Rs. 3,018 - 3,485/sq. ft.",-,-,-
86,Asangaon,"Rs. 2,848 - 3,060/sq. ft.",-,-,-
87,Atgaon,"Rs. 3,102 - 3,868/sq. ft.",-,-,-
88,Azde Gaon,"Rs. 3,740 - 4,718/sq. ft.",-,-,-
89,Badlapur,"Rs. 3,018 - 3,485/sq. ft.","Rs. 3,570 - 4,080","Rs. 5,206 - 5,950",-
90,Badlapur (East),"Rs. 3,018 - 3,400/sq. ft.","Rs. 3,060 - 4,080","Rs. 4,590 - 6,120",-
91,Badlapur (West),"Rs. 3,018 - 3,400/sq. ft.","Rs. 3,588 - 4,100","Rs. 4,938 - 5,644",-
92,Balaji Nagar,"Rs. 6,248 - 6,842/sq. ft.",-,-,-
93,Belavali,"Rs. 3,018 - 3,485/sq. ft.","Rs. 3,748 - 5,355",-,-
94,Bhadra Nagar,"Rs. 7,480 - 8,288/sq. ft.",-,-,-
95,Bhivpuri,"Rs. 2,125 - 2,550/sq. ft.",-,-,-
96,Bhiwandi,"Rs. 3,698 - 4,675/sq. ft.","Rs. 4,692 - 6,569","Rs. 7,327 - 8,060",-
97,Chanakya Nagar,"Rs. 4,930 - 5,525/sq. ft.",-,"Rs. 8,565 - 9,343",-
98,Chikan Ghar,"Rs. 6,035 - 6,800/sq. ft.","Rs. 8,742 - 10,285",-,-
99,Chikholi,"Rs. 3,145 - 3,740/sq. ft.",-,-,-
100,Dahivali,"Rs. 2,678 - 3,145/sq. ft.",-,-,-
101,Dahiwali Tarf Waredi,"Rs. 2,848 - 4,165/sq. ft.",-,-,-
102,Dawadi Gaon,"Rs. 4,038 - 4,632/sq. ft.",-,-,-
103,Desale Pada,"Rs. 4,038 - 4,972/sq. ft.","Rs. 4,413 - 5,216",-,-
104,Devicha Pada,"Rs. 5,355 - 6,290/sq. ft.",-,-,-
105,Dombivli (East),"Rs. 5,015 - 5,908/sq. ft.","Rs. 6,028 - 8,038","Rs. 8,013 - 10,927","Rs. 10,285 - 13,090"
106,Dombivli (West),"Rs. 5,228 - 6,205/sq. ft.","Rs. 7,166 - 8,121",-,-
107,Gandhar Nagar,"Rs. 6,205 - 7,098/sq. ft.","Rs. 7,650 - 8,160","Rs. 11,686 - 14,190",-
108,Gandhi Nagar,"Rs. 5,652 - 6,332/sq. ft.",-,-,-
109,Ganesh Nagar,"Rs. 5,992 - 6,418/sq. ft.","Rs. 5,814 - 7,268",-,-
110,Gauripada,"Rs. 5,228 - 5,780/sq. ft.",-,-,-
111,Gograswadi,"Rs. 5,398 - 6,588/sq. ft.",-,-,-
112,Hanuman Nagar,"Rs. 4,080 - 4,845/sq. ft.",-,-,-
113,Hendre Pada,"Rs. 3,358 - 3,612/sq. ft.","Rs. 3,510 - 4,012","Rs. 6,640 - 7,378",-
114,Jadhav Colony,"Rs. 2,975 - 3,485/sq. ft.",-,-,-
115,Joveli Gaon,"Rs. 2,890 - 3,272/sq. ft.",-,-,-
116,Kailash Colony,"Rs. 3,188 - 3,952/sq. ft.",-,-,-
117,Kalu Nagar,"Rs. 5,610 - 6,842/sq. ft.",-,-,-
118,Kalwa,"Rs. 7,012 - 8,500/sq. ft.","Rs. 9,286 - 11,241","Rs. 15,895 - 18,279",-
119,Kalyan (East),"Rs. 4,122 - 5,398/sq. ft.","Rs. 5,330 - 6,783","Rs. 9,792 - 11,424",-
120,Kalyan (West),"Rs. 5,355 - 6,205/sq. ft.","Rs. 7,021 - 8,526","Rs. 10,763 - 13,246","Rs. 14,763 - 18,170"
121,Kamlakar Nagar,"Rs. 3,230 - 3,570/sq. ft.",-,-,-
122,Karjat,"Rs. 2,762 - 3,272/sq. ft.","Rs. 3,631 - 4,085",-,-
123,Katemanivali,"Rs. 4,038 - 5,100/sq. ft.",-,-,-
124,Katrap,"Rs. 3,188 - 3,698/sq. ft.","Rs. 3,147 - 4,720","Rs. 5,355 - 6,120",-
125,Khadakpada,"Rs. 5,525 - 6,418/sq. ft.","Rs. 7,021 - 8,024","Rs. 11,900 - 14,450","Rs. 16,660 - 17,850"
126,Kharegaon,"Rs. 5,992 - 7,480/sq. ft.","Rs. 9,775 - 11,241","Rs. 13,728 - 15,172",-
127,Kharvai,"Rs. 3,060 - 3,315/sq. ft.","Rs. 2,851 - 3,801",-,-
128,Khatiwali,"Rs. 2,720 - 3,528/sq. ft.",-,-,-
129,Khoni,"Rs. 6,502 - 7,650/sq. ft.",-,-,-
130,Khopoli,"Rs. 3,230 - 3,612/sq. ft.","Rs. 4,786 - 5,264","Rs. 7,751 - 9,160",-
131,Khuntavali,"Rs. 3,272 - 4,038/sq. ft.",-,-,-
132,Kongaon,"Rs. 3,272 - 4,250/sq. ft.",-,-,-
133,Kopargaon,"Rs. 5,398 - 6,460/sq. ft.",-,-,-
134,Kulgaon,"Rs. 3,188 - 3,612/sq. ft.",-,-,-
135,Kumbharkhan Pada,"Rs. 5,525 - 6,375/sq. ft.",-,-,-
136,Maharashtra Nagar,"Rs. 5,355 - 6,588/sq. ft.",-,-,-
137,Manda,"Rs. 3,442 - 4,080/sq. ft.",-,-,-
138,Manjarli,"Rs. 3,060 - 3,740/sq. ft.","Rs. 3,737 - 4,270","Rs. 5,426 - 6,105",-
139,M I D C,"Rs. 5,270 - 6,332/sq. ft.",-,-,-
140,Morivali,"Rs. 3,528 - 4,080/sq. ft.",-,-,-
141,Mumbra,"Rs. 2,805 - 4,038/sq. ft.",-,-,-
142,Nandivali Gaon,"Rs. 3,188 - 3,698/sq. ft.",-,-,-
143,Nandivali Panchanand,"Rs. 3,698 - 4,845/sq. ft.","Rs. 5,208 - 6,155",-,-
144,Nandivli,"Rs. 4,420 - 5,398/sq. ft.",-,-,-
145,Navare Nagar,"Rs. 3,570 - 3,910/sq. ft.",-,-,-
146,Neral,"Rs. 2,720 - 2,975/sq. ft.","Rs. 3,516 - 3,955",-,-
147,Nilje Gaon,"Rs. 4,845 - 5,398/sq. ft.","Rs. 7,472 - 8,468","Rs. 9,116 - 10,519","Rs. 11,426 - 13,184"
148,P And T Colony,"Rs. 4,802 - 6,205/sq. ft.",-,-,-
149,Pendse Nagar,"Rs. 5,568 - 6,842/sq. ft.",-,-,-
150,Pisavli,"Rs. 3,442 - 4,038/sq. ft.",-,-,-
151,Radha Nagar,"Rs. 5,652 - 6,502/sq. ft.","Rs. 7,268 - 8,721",-,-
152,Rambaug,"Rs. 6,332 - 7,608/sq. ft.","Rs. 7,012 - 8,415",-,-
153,Rameshwadi,"Rs. 3,060 - 3,825/sq. ft.",-,-,-
154,Ranjnoli,"Rs. 4,972 - 5,482/sq. ft.",-,-,-
155,Sagaon,"Rs. 3,952 - 5,015/sq. ft.",-,-,-
156,Sagarli,"Rs. 4,080 - 5,185/sq. ft.","Rs. 3,825 - 4,590",-,-
157,Sahyadri Nagar,"Rs. 2,890 - 3,528/sq. ft.",-,-,-
