,property_id,city,place_name,latitude,longitude,keyword,geohash
21375,73538,Bangalore,Syngene International Limited,12.8066462,77.6628936,tech park,tdr0z7
21376,58380,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21377,74726,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21378,47548,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21379,82671,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21380,52262,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21381,54405,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21382,40553,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21383,52217,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21384,53370,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21385,74071,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21386,80331,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21387,84261,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21388,80989,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21389,46524,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21390,45069,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21391,83928,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21392,45118,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21393,45722,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21394,60631,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21395,74446,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21396,54095,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21397,39314,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21398,79428,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21399,79010,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21400,39258,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21401,40418,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21402,73840,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21403,47216,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21404,81068,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21405,39629,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21406,39624,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21407,45135,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21408,86696,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21409,53200,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21410,75736,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21411,80238,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21412,39650,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21413,79745,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21414,75395,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21415,52702,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21416,73697,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21417,40581,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21418,40544,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21419,40543,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21420,40542,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21421,57388,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21422,62604,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21423,60006,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21424,73477,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21425,75021,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21426,52899,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21427,60805,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21428,75616,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21429,40156,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21430,57043,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21431,44244,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21432,46077,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21433,47589,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21434,45739,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21435,45193,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21436,45746,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21437,44205,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21438,54262,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21439,77977,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21440,83044,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21441,84169,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21442,40934,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21443,79510,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21444,85402,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21445,42100,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21446,40358,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21447,40256,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21448,40316,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21449,41764,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21450,49011,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21451,53853,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21452,53999,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21453,81748,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21454,60469,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21455,41590,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21456,79169,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21457,78738,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21458,73722,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21459,61283,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21460,86666,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21461,75615,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21462,83295,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21463,47951,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21464,73538,Bangalore,Wipro Campus (Electronic City SEZ),12.8375417,77.6564919,tech park,tdr1p1
21465,54095,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21466,39314,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21467,39258,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21468,39629,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21469,39624,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21470,45135,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21471,86696,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21472,80238,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21473,39650,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21474,79745,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21475,75395,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21476,52702,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21477,73697,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21478,40581,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21479,40544,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21480,40543,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21481,40542,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21482,57388,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21483,62604,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21484,60006,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21485,73477,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21486,75021,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21487,52899,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21488,75616,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21489,40156,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21490,57043,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21491,44244,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21492,46077,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21493,47589,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21494,45739,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21495,45193,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21496,45746,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21497,44205,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21498,54262,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21499,77977,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21500,83044,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21501,84169,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21502,40934,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21503,79510,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21504,85402,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21505,42100,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21506,40358,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21507,40256,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21508,40316,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21509,41764,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21510,49011,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21511,53853,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21512,53999,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21513,81748,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21514,60469,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21515,41590,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21516,79169,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21517,78738,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21518,73722,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21519,61283,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
21520,86666,Bangalore,"Infosys, SEZ Campis",12.8383418,77.6490132,tech park,tdr1nc
