,Locality,Region,Type,latitude,longitude,price
379,Kasarvadavali,Thane,2 BHK Flat 730 sqft,19.269503,72.966038,"20,000"
380,Ghodbunder Road,Thane,1 BHK Flat 450 sqft,19.283103022435,72.956399308722,"15,000"
381,Ghodbunder Road,Thane,1 BHK Flat 575 sqft,19.25998,72.969349,"15,500"
382,Kavesar,Thane,2 BHK Flat 1398 sqft,19.259296,72.97247,"26,000"
383,Anand Nagar,Thane,"1 BHK 615 Sq-ft Flat/Apartment for Rent in Anand Nagar, Thane",19.263363,72.9665409,"15,500"
384,Ghodbunder Road,Thane,3 BHK Flat 1652 sqft,19.2591843,72.9831185,"50,000"
385,Hiranandani Estate,Thane,"2 BHK 1200 Sq-ft Flat/Apartment for Rent in Hiranandani Estate, Thane",19.251020431518555,72.9829330444336,"30,500"
386,Hiranandani Estate,Thane,"4 BHK 2200 Sq-ft Flat/Apartment for Rent in Hiranandani Estate, Thane",19.258298873901367,72.97987365722656,"60,000"
387,Kasarvadavali,Thane,1 BHK Flat 550 sqft,19.2708939,72.9635227,"14,000"
388,Anand Nagar,Thane,1 BHK Flat 621 sqft,19.2682997185672,72.970228,"15,000"
389,Anand Nagar,Thane,2 BHK Flat 955 sqft,19.268313,72.973018,"24,000"
390,Ghodbunder Road,Thane,2 BHK Flat 800 sqft,19.274749,72.963404,"18,000"
391,Kasarvadavali,Thane,2 BHK Flat 1000 sqft,19.271628,72.9624771,"24,000"
392,Waghbil,Thane,3 BHK Flat 1500 sqft,19.251789,72.968322,"30,000"
393,Ghodbunder Road,Thane,2 BHK Flat 901 sqft,19.2690156496098,72.9625896690085,"22,000"
394,Ghodbunder Road,Thane,3 BHK Flat 1350 sqft,19.2561356370358,72.9717903804173,"42,000"
395,Manpada,Thane,3 BHK Flat 1158 sqft,19.2403074406356,72.969553,"29,500"
396,Kasarvadavali,Thane,2 BHK Flat 1050 sqft,19.2678709820755,72.9695646083941,"21,000"
397,Hiranandani Estate,Thane,"3 BHK 993 Sq-ft Flat/Apartment for Rent in Hiranandani Estate, Thane",19.257558822631836,72.98296356201172,"40,000"
398,Kasarvadavali,Thane,2 BHK Flat 980 sqft,19.265838,72.962666,"23,000"
399,Ghodbunder Road,Thane,3 BHK Flat 1300 sqft,19.260466,72.9668800689985,"27,000"
