,Locality,Region,Type,latitude,longitude,price
95,Thane West,Thane,2 BHK 1000 Sq-ft Flat/Apartment for Rent in Neelkanth Palms Kapurbavdi,19.220528921958,72.9760541808747,"27,000"
96,Majiwada,Thane,1 BHK 650 Sq-ft Flat/Apartment for Rent in Swami Krupa Majiwada,19.191286,72.977393,"17,500"
97,Majiwada,Thane,3 BHK 2079 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Priva Balkum Pada - Majiwada,19.214872,72.987236,"47,000"
98,Kolshet Road,Thane,2 BHK 850 Sq-ft Flat/Apartment for Rent in Sunrise by Kalpataru Kolshet Road,19.228471,72.987741,"23,000"
99,Kolshet Road,Thane,2 BHK 672 Sq-ft Flat/Apartment for Rent in Lodha Amara Kolshet Road,19.233686,72.988434,"25,000"
100,Kolshet Road,Thane,2 BHK 893 Sq-ft Flat/Apartment for Rent in Lodha Amara Kolshet Road,19.233686,72.988434,"21,999"
101,Majiwada,Thane,3 BHK 1500 Sq-ft Flat/Apartment for Rent in Rustomjee Azziano Majiwada,19.206731,72.98791,"35,000"
102,Manpada,Thane,2 BHK 740 Sq-ft Flat/Apartment for Rent in Runwal Estate Manpada,19.2312939461523,72.978885,"26,000"
103,Pokharan Road No. 2,Thane,3 BHK Flat 1532 sqft,19.21897315979004,72.96810150146484,"49,000"
104,Naupada,Thane,1 BHK Flat 500 sqft,19.18877,72.97044,"23,000"
105,Dhokali,Thane,2 BHK 950 Sq-ft Flat/Apartment for Rent in Highland garden Dhokali,19.223625057774,72.9838048954775,"24,000"
106,Kolshet Road,Thane,1 BHK 475 Sq-ft Flat/Apartment for Rent in Lodha Amara Kolshet Road,19.233686,72.988434,"20,000"
107,Thane West,Thane,1 BHK 650 Sq-ft Flat/Apartment for Rent in Bhoomi Acres Thane West,19.261927,72.97884714,"16,000"
108,Thane West,Thane,1 BHK Flat 600 sqft,19.225129,72.9772647,"22,000"
109,Teen Hath Naka,Thane,2 BHK Flat 1150 sqft,19.188302,72.96352,"37,000"
110,Majiwada,Thane,2 BHK 1260 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Priva Majiwada,19.214872,72.987236,"30,500"
111,Manpada,Thane,1 BHK 550 Sq-ft Flat/Apartment for Rent in Brahmanand Manpada,19.2308277,72.9741067,"13,000"
112,Pokharan Road No. 2,Thane,2 BHK Flat 920 sqft,72.96810150146484,19.21897315979004,"28,499"
