,Locality,Region,Type,latitude,longitude,price
239,Thakur Village,Mumbai,2 BHK 1050 Sq-ft Flat/Apartment for Rent in Kanakia Challengers Thakur Village,19.20875128,72.87098633,"32,000"
240,Lokhandwala Twp,Mumbai,2 BHK 1090 Sq-ft Flat/Apartment for Rent in Spring Leaf Lokhandwala Twp,19.0724961,72.8343615,"30,000"
241,Lokhandwala Twp,Mumbai,2 BHK 800 Sq-ft Flat/Apartment for Rent in Green Hills Lokhandwala Twp,19.1956621,72.8748253,"28,000"
242,Thakur Village,Mumbai,3 BHK 1300 Sq-ft Flat/Apartment for Rent in Evershine Crown Thakur Village,19.214379,72.87259,"45,000"
243,Thakur Village,Mumbai,3 BHK 1350 Sq-ft Flat/Apartment for Rent in Evershine Crown Thakur Village,19.214379,72.87259,"45,000"
244,Kandivali East,Mumbai,3 BHK 1495 Sq-ft Flat/Apartment for Rent in Alpine Shapoorji Pallonji Kandivali East,19.2062083,72.872531,"45,000"
245,Thakur Village,Mumbai,3 BHK Flat 1948 sqft,19.207914352416992,72.8711929321289,"70,000"
246,Thakur Village,Mumbai,3 BHK 1200 Sq-ft Flat/Apartment for Rent in Orchid Tower Thakur Village,19.212571,72.8735217,"42,000"
247,Thakur Village,Mumbai,1 BHK 750 Sq-ft Flat/Apartment for Rent in Evershine Millenium Paradise Thakur Village,19.210841,72.8755987441594,"23,500"
248,Thakur Village,Mumbai,1 BHK 585 Sq-ft Flat/Apartment for Rent in Dheeraj Upvan Thakur Village,19.2203515,72.8692392,"23,000"
249,Kandivali East,Mumbai,3 BHK 1295 Sq-ft Flat/Apartment for Rent in Oberoi Gardens Kandivali East,19.209567,72.869971,"50,000"
250,Thakur Village,Mumbai,2 BHK 925 Sq-ft Flat/Apartment for Rent in Gokul Nagari 1 Thakur Village,19.2135509,72.867515,"30,000"
251,Kandivali East,Mumbai,2 BHK 950 Sq-ft Flat/Apartment for Rent in Kalpataru Gardens II Kandivali East,19.2050017,72.8692711,"40,000"
252,Thakur Village,Mumbai,3 BHK 1214 Sq-ft Flat/Apartment for Rent in Raheja Reflection Eternity Thakur Village,19.2155828164431,72.8744334637385,"60,000"
253,Thakur Village,Mumbai,2 BHK 850 Sq-ft Flat/Apartment for Rent in Gundecha Thakur Village,19.21102,72.87172,"38,000"
