,Locality,Region,Type,latitude,longitude,price
515,Goregaon East,Mumbai,3 BHK 1600 Sq-ft Flat/Apartment for Rent in Aspen Garden Goregaon East,19.15508006,72.85083842,"57,000"
516,Goregaon East,Mumbai,3 BHK 1790 Sq-ft Flat/Apartment for Rent in Lodha Fiorenza hub mall,19.1547839,72.8540607,"75,000"
517,Goregaon East,Mumbai,3 BHK 1530 Sq-ft Flat/Apartment for Rent in Heena Gaurav Jewels Goregaon East,19.1753667459889,72.8706262702931,"46,000"
518,Film City Road,Mumbai,2 BHK 1150 Sq-ft Flat/Apartment for Rent in Mantri Serene Film City Road,19.16703502,72.88127374,"36,000"
519,Gokuldham,Mumbai,2 BHK 1290 Sq-ft Flat/Apartment for Rent in JP Decks Blue Gokuldham,19.17603669,72.86795229,"48,000"
520,Goregaon East,Mumbai,3 BHK 2195 Sq-ft Flat/Apartment for Rent in Oberoi Esquire Goregaon East,19.1590077,72.8692711,1.0 Lac
521,Goregaon East,Mumbai,2 BHK 1290 Sq-ft Flat/Apartment for Rent in JP Decks Blue Goregaon East,19.17603669,72.86795229,"44,500"
522,Film City Road,Mumbai,2 BHK 1300 Sq-ft Flat/Apartment for Rent in JP Decks Blue Film City Road,19.17603669,72.86795229,"49,000"
523,CAMA Industrial Estate,Mumbai,3 BHK 2205 Sq-ft Flat/Apartment for Rent in Lodha Fiorenza CAMA Industrial Estate,19.1547839,72.8540607,"85,000"
524,Goregaon East,Mumbai,3 BHK 1100 Sq-ft Flat/Apartment for Rent in Yashodham Complex Goregaon East,19.173421,72.866673,"50,000"
525,Goregaon East,Mumbai,3 BHK 2128 Sq-ft Flat/Apartment for Rent in Oberoi Esquire Goregaon East,19.1590077,72.8692711,1.0 Lac
526,Goregaon East,Mumbai,Studio Apartment 300 sqft,19.1548891,72.8491446,"12,500"
527,Goregaon East,Mumbai,1 BHK 540 Sq-ft Flat/Apartment for Rent in Royal Palms Diamond Isle Phase II Goregaon East,19.1542384,72.8847838,"20,000"
528,Yeshodham,Mumbai,3 BHK 2195 Sq-ft Flat/Apartment for Rent in Oberoi Esquire Yeshodham,19.17186,72.86016,1.1 Lac
529,Agari Pada,Mumbai,3 BHK Flat 1825 sqft,0.0,0.0,1.3 Lac
