,Locality,Region,Type,latitude,longitude,price
389,Chembur,Mumbai,3 BHK Flat 1625 sqft,19.05597496032715,72.8909683227539,"65,000"
390,Chembur,Mumbai,1 BHK Flat 693 sqft,19.051347732543945,72.8875732421875,"35,000"
391,Chembur,Mumbai,2 BHK Flat 1186 sqft,19.06488800048828,72.89338684082031,"45,500"
392,Tilak Nagar - Harbour Line,Mumbai,1 BHK Flat 510 sqft,19.068050384521484,72.89604949951172,"25,000"
393,Chembur Colony,Mumbai,1 BHK Flat 660 sqft,19.04444,72.89619,"32,000"
394,Chembur,Mumbai,3 BHK Flat 1500 sqft,19.0327996,72.8963568,"85,000"
395,Sion Trombay Road,Mumbai,2 BHK Flat 1051 sqft,19.053375,72.897061,"48,000"
396,Chembur,Mumbai,2 BHK 1010 Sq-ft Flat/Apartment for Rent in Aaradhya One Chembur,19.067447,72.900278,"52,000"
397,Chembur,Mumbai,2 BHK Flat 875 sqft,19.044437408447266,72.89618682861328,"36,000"
398,Chedda Nagar - Chembur,Mumbai,1 BHK Flat 850 sqft,19.068090438842773,72.90733337402344,"27,000"
399,Chembur,Mumbai,2 BHK Flat 1500 sqft,19.032798767089844,72.89635467529297,"42,000"
400,Tilak Nagar - Harbour Line,Mumbai,1 BHK Flat 675 sqft,19.07132911682129,72.90304565429688,"30,000"
401,Chembur,Mumbai,1 BHK Flat 650 sqft,19.064149856567383,72.9112548828125,"27,000"
402,Chembur,Mumbai,1 BHK Flat 300 sqft,19.057384490966797,72.90438079833984,"16,000"
403,Sion Trombay Road,Mumbai,1 BHK 500 Sq-ft Flat/Apartment for Rent in Madhugiri Society Sion Trombay Road,19.053375,72.897061,"25,000"
404,Chembur Colony,Mumbai,1 BHK Flat 650 sqft,19.0444393157959,72.89618682861328,"30,000"
405,Chembur,Mumbai,2 BHK 877 Sq-ft Flat/Apartment for Rent in Alta Vista Chembur,19.053946,72.885286,"40,000"
406,Tilak Nagar - Harbour Line,Mumbai,2 BHK Flat 1150 sqft,19.070762634277344,72.89759826660156,"42,000"
407,Chembur,Mumbai,3 BHK 1750 Sq-ft Flat/Apartment for Rent in Bella Vista Chembur,19.0574909,72.8339104,"75,000"
408,Chembur,Mumbai,3 BHK Flat 1500 sqft,19.047929763793945,72.90606689453125,"68,000"
409,Chembur,Mumbai,1 BHK 1050 Sq-ft Flat/Apartment for Rent in Gurumukh Sadan CHS Chembur,19.0327996,72.8963568,"29,000"
410,Chembur,Mumbai,3 BHK 1315 Sq-ft Flat/Apartment for Rent in Mount Everest Apartment Chembur,19.0327996,72.8963568,"65,000"
411,Chembur,Mumbai,3 BHK 1400 Sq-ft Flat/Apartment for Rent in Safal Twins Chembur,19.046411,72.915765,"65,000"
412,Chembur,Mumbai,2 BHK Flat 1186 sqft,19.064851760864258,72.89305114746094,"46,000"
413,Chembur,Mumbai,4 BHK 2250 Sq-ft Flat/Apartment for Rent in Union Park CLOSE TO R.K.STUDIO,19.0496985,72.9025149,1.2 Lac
414,Chembur,Mumbai,1 BHK Flat 624 sqft,19.0327996,72.8963568,"33,000"
415,Chembur,Mumbai,3 BHK 1500 Sq-ft Flat/Apartment for Rent in Chembur Castle Chembur,19.0508931559751,72.9048221431727,"75,000"
416,Chembur,Mumbai,2 BHK Flat 1150 sqft,19.032798767089844,72.89635467529297,"55,000"
417,Chembur,Mumbai,2 BHK 1110 Sq-ft Flat/Apartment for Rent in Godrej Prime Chembur,19.0637822,72.892005,"46,000"
418,Chembur,Mumbai,4 BHK 2400 Sq-ft Flat/Apartment for Rent in Sabari Aashiana Chembur,19.0423159683426,72.9126666773096,1.1 Lac
419,Chembur,Mumbai,2 BHK 1250 Sq-ft Flat/Apartment for Rent in KRITIKA ANNEXE Off Sion Trombay Road,19.0479365,72.906129,"60,000"
420,Ghatla,Mumbai,3 BHK 1500 Sq-ft Flat/Apartment for Rent in Kukreja Residency Ghatla,19.047467,72.909619,"65,000"
421,Chembur,Mumbai,2 BHK 1055 Sq-ft Flat/Apartment for Rent in Aaradhya One Chembur,19.067447,72.900278,"50,000"
422,Chembur,Mumbai,"2 BHK 950 Sq-ft Flat/Apartment for Rent in diamond garden Diamond GardenBasant Garden,",19.0531452,72.902321,"60,000"
423,Chembur,Mumbai,2 BHK 950 Sq-ft Flat/Apartment for Rent in Kukreja Sai Deep 3 Chembur,19.0327996,72.8963568,"55,000"
424,Chembur,Mumbai,1 BHK 666 Sq-ft Flat/Apartment for Rent in Callista sindhi society,19.0525731497833,72.8905706743596,"36,000"
425,Chembur,Mumbai,"3 BHK 1800 Sq-ft Flat/Apartment for Rent in Chembur Castle Chembur Castle, Chembur",19.0508931559751,72.9048221431727,"75,000"
426,Chembur,Mumbai,2 BHK Flat 900 sqft,19.04832649230957,72.8885498046875,"40,000"
427,Tilak Nagar - Harbour Line,Mumbai,2 BHK Flat 1050 sqft,19.068051,72.89605,"38,000"
428,Chembur,Mumbai,3 BHK 1667 Sq-ft Flat/Apartment for Rent in Sabari Natekar Heights Near Sandu Garden,19.0327996,72.8963568,"75,000"
429,Chembur,Mumbai,2 BHK 1150 Sq-ft Flat/Apartment for Rent in Godrej Prime Chembur,19.0637822,72.892005,"46,000"
430,Chembur,Mumbai,2 BHK 1100 Sq-ft Flat/Apartment for Rent in Raj Ek Jyot Sukriti Chembur,19.0327996,72.8963568,"50,000"
431,Tilak Nagar - Harbour Line,Mumbai,2 BHK 1205 Sq-ft Flat/Apartment for Rent in Nisarga CHS Ltd Tilak Nagar - Harbour Line,19.068051,72.89605,"45,000"
432,Chembur,Mumbai,1 BHK 825 Sq-ft Flat/Apartment for Rent in Sindhi Society Chembur sindhi society,19.0505025,72.8862431,"33,500"
433,Chembur,Mumbai,2 BHK 1250 Sq-ft Flat/Apartment for Rent in Hiranandani Maitri Park maitri park,19.0493211072347,72.9048227147921,"60,000"
434,Chembur,Mumbai,1 BHK 650 Sq-ft Flat/Apartment for Rent in Sindhi Society sindhi socity,19.0504924,72.8906205,"33,000"
435,Chembur,Mumbai,2 BHK 1100 Sq-ft Flat/Apartment for Rent in Omkar Raga Chembur,19.061591,72.8930146,"40,000"
436,Tilak Nagar - Harbour Line,Mumbai,2 BHK Flat 950 sqft,19.068051,72.89605,"40,000"
437,Chembur,Mumbai,2 BHK 1210 Sq-ft Flat/Apartment for Rent in Atur Lawns CHS Chembur,19.0327996,72.8963568,"47,500"
438,Chembur,Mumbai,1 BHK 680 Sq-ft Flat/Apartment for Rent in Jeevan Naiya CHS chembur naka,19.0529607,72.8929393,"25,000"
439,Tilak Nagar - Harbour Line,Mumbai,1 BHK 680 Sq-ft Flat/Apartment for Rent in Ekta CHS Tilak Nagar - Harbour Line,19.068051,72.89605,"32,000"
440,Sion Trombay Road,Mumbai,3 BHK Flat 1500 sqft,19.053375,72.897061,"80,000"
441,Tilak Nagar - Harbour Line,Mumbai,1 BHK 510 Sq-ft Flat/Apartment for Rent in Sat Swarup Tilak Nagar - Harbour Line,19.068051,72.89605,"25,000"
442,Sion Trombay Road,Mumbai,1 BHK Flat 500 sqft,19.052026748657227,72.87698364257812,"30,000"
443,Chembur,Mumbai,2 BHK 1000 Sq-ft Flat/Apartment for Rent in Godrej Prime Chembur,19.0637822,72.892005,"45,000"
444,Chembur,Mumbai,1 BHK 775 Sq-ft Flat/Apartment for Rent in Omkar Raga Chembur,19.061591,72.8930146,"35,000"
445,Chembur,Mumbai,1 BHK 1000 Sq-ft Flat/Apartment for Rent in Sindhi Society Chembur,19.0504924,72.8906205,"35,000"
446,Tilak Nagar - Harbour Line,Mumbai,3 BHK Flat 1485 sqft,19.068050384521484,72.89604949951172,"50,000"
447,Chembur Colony,Mumbai,1 BHK 600 Sq-ft Flat/Apartment for Rent in Krishna Heritage Chembur Colony,19.0423972,72.891114,"35,000"
448,Chembur,Mumbai,1 BHK 500 Sq-ft Flat/Apartment for Rent in Maitri Park Chembur,19.0483954,72.9068286,"25,000"
449,Chembur,Mumbai,2 BHK 1200 Sq-ft Flat/Apartment for Rent in Mahavir Platinium shankara colony,19.0643511,72.9101519,"36,000"
450,Chembur,Mumbai,2 BHK 1000 Sq-ft Flat/Apartment for Rent in Sindhi Society Chembur,19.0504924,72.8906205,"45,000"
451,Chembur,Mumbai,3 BHK Flat 1435 sqft,19.0327996,72.8963568,"55,000"
452,Chembur,Mumbai,2 BHK Flat 1186 sqft,19.064842224121094,72.88958740234375,"45,000"
453,Tilak Nagar - Harbour Line,Mumbai,3 BHK Flat 1450 sqft,19.07147979736328,72.89759063720703,"55,000"
454,Collector Colony,Mumbai,3 BHK Flat 1350 sqft,19.04447,72.89131,"55,000"
455,Chembur,Mumbai,1 BHK Flat 630 sqft,19.0327987670898,72.896354675293,"28,500"
456,Chembur,Mumbai,3 BHK 1500 Sq-ft Flat/Apartment for Rent in Raheja Acropolis Chembur,19.048042,72.919006,"58,000"
457,Sion Trombay Road,Mumbai,2 BHK 877 Sq-ft Flat/Apartment for Rent in Alta Vista Sion Trombay Road,19.053946,72.885286,"38,000"
458,Chembur,Mumbai,3 BHK Flat 1480 sqft,19.067747116088867,72.89496612548828,"55,000"
459,Chembur,Mumbai,3 BHK Flat 1800 sqft,19.05122184753418,72.89752960205078,"82,000"
460,Central Avenue Road,Mumbai,2 BHK 1320 Sq-ft Flat/Apartment for Rent in Mahalaxmi Heritage Central Avenue Road,19.0590808264934,72.9005369033696,"55,000"
461,Chembur,Mumbai,3 BHK Flat 1530 sqft,19.064111709594727,72.89175415039062,"82,000"
462,Chembur,Mumbai,3 BHK Flat 1750 sqft,19.0327996,72.8963568,"75,000"
463,Chembur,Mumbai,3 BHK 1320 Sq-ft Flat/Apartment for Rent in Safal Twins Near Freeway,19.046411,72.915765,"65,000"
464,Sion Trombay Road,Mumbai,3 BHK 2250 Sq-ft Flat/Apartment for Rent in Panorama Sion Trombay Road,19.0490901,72.9016533,1.3 Lac
465,Chembur,Mumbai,1 BHK 700 Sq-ft Flat/Apartment for Rent in Godrej Serenity Mumbai Deonar Village Road,19.0486128,72.9199859,"42,500"
466,Chembur,Mumbai,1 BHK 720 Sq-ft Flat/Apartment for Rent in Godrej Prime Chembur,19.0637822,72.892005,"35,000"
467,Chembur Colony,Mumbai,2 BHK 1050 Sq-ft Flat/Apartment for Rent in Veena Serenity Chembur Colony,19.062699,72.892612,"40,000"
468,Union Park,Mumbai,2 BHK 1450 Sq-ft Flat/Apartment for Rent in Kritika Towers Union Park,19.0473992,72.904082,"53,000"
469,Chembur,Mumbai,3 BHK 1885 Sq-ft Flat/Apartment for Rent in diamond garden DIAMOND GARDEN,19.0531452,72.902321,"70,500"
470,Shell Colony,Mumbai,3 BHK Flat 1600 sqft,19.06428,72.89293,"65,000"
471,Swastik Park,Mumbai,2 BHK Flat 1050 sqft,19.05624,72.88755,"44,000"
472,Basant Cinema,Mumbai,3 BHK 1200 Sq-ft Flat/Apartment for Rent in Sufalam CHS Basant Cinema,19.04546,72.90305,"60,000"
473,Tilak Nagar - Harbour Line,Mumbai,2 BHK Flat 1050 sqft,19.068050384521484,72.89604949951172,"38,000"
474,Collector Colony,Mumbai,3 BHK Flat 1500 sqft,19.044376373291016,72.89334106445312,"65,000"
475,Central Avenue Road,Mumbai,3 BHK 1815 Sq-ft Flat/Apartment for Rent in Vijaya Heritage Central Avenue Road,19.0569604,72.9013721,"68,000"
476,Chembur,Mumbai,3 BHK Flat 1350 sqft,19.064842224121094,72.89202880859375,"55,000"
477,Chembur,Mumbai,2 BHK Flat 850 sqft,19.0327996,72.8963568,"55,000"
478,Chembur,Mumbai,2 BHK 1300 Sq-ft Flat/Apartment for Rent in Godrej Prime Chembur,19.0637822,72.892005,"45,000"
479,Chembur,Mumbai,2 BHK 1100 Sq-ft Flat/Apartment for Rent in Bhakti Heights Chembur,19.067096,72.8950492,"37,000"
480,Chembur,Mumbai,1 BHK Flat 650 sqft,19.056570053100586,72.92403411865234,"18,000"
481,Chembur,Mumbai,2 BHK Flat 1150 sqft,19.032798767089844,72.89635467529297,"38,000"
482,Tilak Nagar - Harbour Line,Mumbai,1 BHK Flat 800 sqft,19.067964553833008,72.89603424072266,"35,000"
483,P Lokhande Marg,Mumbai,2 BHK Flat 1400 sqft,19.062576293945312,72.90125274658203,"40,000"
484,Swastik Park,Mumbai,3 BHK 1550 Sq-ft Flat/Apartment for Rent in Sindhi Society Chembur Swastik Park,19.0505025,72.8862431,"63,000"
485,Chembur,Mumbai,1 BHK Flat 685 sqft,19.044153213500977,72.89100646972656,"34,000"
486,Tilak Nagar - Harbour Line,Mumbai,1 BHK Flat 750 sqft,19.071380615234375,72.89840698242188,"30,000"
487,Tilak Nagar - Harbour Line,Mumbai,2 BHK Flat 1170 sqft,19.068050384521484,72.89604949951172,"44,000"
488,Chembur,Mumbai,2 BHK Flat 1080 sqft,19.0327996,72.8963568,"45,000"
489,Chembur,Mumbai,3 BHK Flat 2000 sqft,19.0327996,72.8963568,1.2 Lac
